trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20250704,265.01,269.98,260.98,265.8,262.59,3.21,1.2224,272060.13,7214227.943
20250707,265.8,268.88,258.88,260.89,265.8,-4.91,-1.8473,174664.98,4568972.965
20250708,260.7,265.9,259.82,263.31,260.89,2.42,0.9276,155922.92,4104293.094
20250709,262.2,274.46,262.1,270.8,263.31,7.49,2.8446,293883.71,7948423.739
20250710,274.99,274.99,268.5,272.0,270.8,1.2,0.4431,242393.49,6594201.202
20250711,271.5,274.0,270.1,271.5,272.0,-0.5,-0.1838,213281.53,5798544.034
20250714,271.0,271.32,266.1,268.5,271.5,-3.0,-1.105,149788.84,4013693.003
20250715,268.5,272.5,266.0,267.75,268.5,-0.75,-0.2793,169526.49,4553827.628
20250716,268.5,268.7,263.04,264.4,267.75,-3.35,-1.2512,156264.79,4135841.242
20250717,265.37,267.75,264.36,265.5,264.4,1.1,0.416,145110.17,3852746.251
20250718,268.7,272.45,265.8,271.2,265.5,5.7,2.1469,221865.58,5981601.235
20250721,277.0,282.0,273.55,279.66,271.2,8.46,3.1195,324862.75,9047295.149
20250722,280.0,290.0,279.18,286.66,279.66,7.0,2.503,333090.29,9468912.161
20250723,288.16,290.75,286.59,287.02,286.66,0.36,0.1256,200189.74,5772653.126
20250724,289.0,289.2,282.91,285.2,287.02,-1.82,-0.6341,223891.14,6394082.072
20250725,285.2,285.2,281.75,282.8,285.2,-2.4,-0.8415,134326.01,3802835.26
20250728,283.02,289.09,281.3,286.3,282.8,3.5,1.2376,238973.36,6830867.029
20250729,286.7,292.0,286.68,291.82,286.3,5.52,1.928,233945.55,6785427.583
20250730,292.2,292.2,276.36,277.09,291.82,-14.73,-5.0476,415943.01,11712764.593
20250731,280.8,281.98,264.62,264.62,277.09,-12.47,-4.5003,447103.55,12088514.551
20250801,264.8,266.6,262.75,263.07,264.62,-1.55,-0.5857,252500.02,6682814.646
20250804,263.0,268.0,261.7,266.48,263.07,3.41,1.2962,237681.68,6286238.371
20250805,267.5,269.0,263.5,265.7,266.48,-0.78,-0.2927,219760.4,5844478.67
20250806,265.22,266.9,263.23,265.0,265.7,-0.7,-0.2635,153233.11,4058482.396
20250807,265.0,266.49,262.2,263.05,265.0,-1.95,-0.7358,165481.04,4363462.114
