trade_date,open,high,low,close,volume,amount,pct_chg,adj_factor
20250704,259.98,264.86,256.03,260.76,272060.13,7214227.943,1.2224,1.9125
20250707,260.76,263.78,253.97,255.94,174664.98,4568972.965,-1.8473,1.9125
20250708,255.75,260.85,254.89,258.31,155922.92,4104293.094,0.9276,1.9125
20250709,257.22,269.25,257.13,265.66,293883.71,7948423.739,2.8446,1.9125
20250710,269.77,269.77,263.4,266.84,242393.49,6594201.202,0.4431,1.9125
20250711,266.35,268.8,264.97,266.35,213281.53,5798544.034,-0.1838,1.9125
20250714,265.86,266.17,261.05,263.4,149788.84,4013693.003,-1.105,1.9125
20250715,263.4,267.33,260.95,262.67,169526.49,4553827.628,-0.2793,1.9125
20250716,263.4,263.6,258.05,259.38,156264.79,4135841.242,-1.2512,1.9125
20250717,260.33,262.67,259.34,260.46,145110.17,3852746.251,0.416,1.9125
20250718,263.6,267.28,260.76,266.05,221865.58,5981601.235,2.1469,1.9125
20250721,271.74,276.65,268.36,274.35,324862.75,9047295.149,3.1195,1.9125
20250722,274.69,284.5,273.88,281.22,333090.29,9468912.161,2.503,1.9125
20250723,282.69,285.23,281.15,281.57,200189.74,5772653.126,0.1256,1.9125
20250724,283.52,283.71,277.54,279.79,223891.14,6394082.072,-0.6341,1.9125
20250725,279.79,279.79,276.4,277.43,134326.01,3802835.26,-0.8415,1.9125
20250728,277.65,283.6,275.96,280.87,238973.36,6830867.029,1.2376,1.9125
20250729,281.26,286.46,281.24,286.28,233945.55,6785427.583,1.928,1.9125
20250730,286.65,286.65,271.11,271.83,415943.01,11712764.593,-5.0476,1.9125
20250731,275.47,276.63,259.6,259.6,447103.55,12088514.551,-4.5003,1.9125
20250801,259.77,261.54,257.76,258.08,252500.02,6682814.646,-0.5857,1.9125
20250804,258.01,262.91,256.73,261.42,237681.68,6286238.371,1.2962,1.9125
20250805,262.42,263.89,258.5,260.66,219760.4,5844478.67,-0.2927,1.9125
20250806,260.19,261.83,258.23,259.97,153233.11,4058482.396,-0.2635,1.9125
20250807,259.97,261.43,257.22,258.06,165481.04,4363462.114,-0.7358,1.9125
20250808,258.99,261.11,257.04,258.48,174282.16,4604736.203,0.1635,1.9125
20250811,258.48,261.1,257.52,258.66,213308.76,5627553.11,0.0683,1.9125
20250812,258.5,260.15,252.83,258.25,222407.39,5829140.856,-0.1555,1.9125
20250813,259.74,269.78,259.49,268.41,394667.69,10661084.797,3.9316,1.9125
20250814,271.63,276.65,269.27,274.58,371707.57,10378442.059,2.299,1.9125
20250815,273.1,276.94,270.86,275.34,241091.69,6735591.187,0.2787,1.9125
20250818,275.34,280.06,272.74,277.63,285287.93,8056186.542,0.8302,1.9125
20250819,278.63,279.62,271.96,273.51,244285.85,6816442.573,-1.8375,1.9194
20250820,273.22,275.67,267.85,274.89,233534.92,6414344.337,0.8671,1.9194
20250821,274.96,277.45,273.71,274.69,182698.14,5103914.721,-0.0716,1.9194
20250822,274.62,284.88,274.3,282.75,264218.51,7543698.628,2.9319,1.9194
20250825,285.52,289.34,282.35,285.8,312297.2,9046692.965,1.0795,1.9194
20250826,282.59,286.5,281.17,285.03,230244.62,6648848.315,-0.2687,1.9194
20250827,284.54,285.07,273.89,274.0,382584.29,10859010.3,-3.8687,1.9194
20250828,271.8,274.68,268.51,273.13,304664.01,8407974.991,-0.3198,1.9194
20250829,274.01,311.77,273.66,301.45,780138.92,23482893.637,10.3709,1.9194
20250901,301.77,302.16,294.68,299.31,429964.21,13012795.663,-0.712,1.9194
20250902,299.34,306.3,294.41,298.19,371168.89,11289093.083,-0.3717,1.9194
20250903,298.81,306.84,298.35,304.23,508974.73,15640548.986,2.024,1.9194
20250904,308.63,318.34,295.99,299.34,657547.54,20442631.453,-1.6084,1.9194
20250905,295.27,320.09,295.19,320.09,708197.79,22440211.716,6.9335,1.9194
20250908,328.84,332.44,318.51,320.35,588345.78,19349632.049,0.08,1.9194
20250909,317.82,329.41,312.26,315.06,434023.97,14085497.658,-1.6504,1.9194
20250910,313.08,317.03,308.17,311.16,367526.83,11649703.595,-1.2375,1.9194
20250911,310.68,317.99,304.27,317.57,380344.6,12060756.827,2.0599,1.9194
20250912,320.87,324.81,317.23,319.98,338713.16,11031032.653,0.7596,1.9194
20250915,340.67,365.78,338.71,349.22,718410.23,25586615.241,9.1385,1.9194
20250916,350.61,353.46,343.12,347.96,377444.65,13325722.242,-0.3609,1.9194
20250917,351.29,375.98,348.53,371.28,543771.0,20113064.234,6.7002,1.9194
20250918,368.81,374.13,355.23,361.23,518896.9,19308545.614,-2.7075,1.9194
20250919,359.36,369.91,356.14,362.8,339148.86,12515443.887,0.4361,1.9194
20250922,364.78,366.97,357.18,364.34,285277.63,10474484.764,0.4233,1.9194
20250923,362.32,371.14,354.44,362.47,348493.15,12813882.35,-0.5134,1.9194
20250924,365.27,374.13,360.41,374.06,383145.48,14311189.086,3.1998,1.9194
20250925,370.79,396.37,370.66,386.78,466393.38,18251421.708,3.4006,1.9194
20250926,385.97,393.81,374.13,374.53,362633.26,14106499.742,-3.1691,1.9194
20250929,380.37,393.72,380.05,391.23,389647.45,15381134.07,4.4611,1.9194
20250930,389.89,402.57,389.89,395.79,330313.1,13278445.667,1.1652,1.9194
20251009,393.8,417.81,393.57,403.56,412088.23,16989122.538,1.9627,1.9194
20251010,394.81,397.57,373.16,376.05,533117.98,20684330.795,-6.8165,1.9194
20251013,357.26,378.66,357.26,368.72,471509.98,17618650.277,-1.9505,1.9194
20251014,375.12,379.84,350.28,352.47,496399.39,18319370.881,-4.4059,1.9194
20251015,352.96,364.0,349.28,363.6,369933.55,13383852.917,3.1564,1.9194
20251016,361.83,368.13,358.87,362.81,276294.67,10185159.269,-0.2166,1.9194
20251017,361.83,369.21,351.48,352.61,319057.61,11588825.855,-2.8114,1.9194
20251020,359.36,363.19,353.98,360.84,284324.2,10372513.059,2.3343,1.9194
20251021,367.24,375.46,357.49,370.1,446328.7,16784956.526,2.5648,1.9194
20251022,370.1,373.03,362.52,367.1,219458.79,8178934.535,-0.8087,1.9194
20251023,368.03,372.95,363.3,370.64,239980.98,8982628.027,0.9628,1.9194
20251024,374.1,381.81,372.16,379.81,320415.78,12276721.104,2.4758,1.9194
20251027,386.93,386.93,370.76,380.22,404510.18,15542852.577,0.1063,1.9194
20251028,380.2,387.72,377.11,380.51,287082.95,11160796.766,0.0777,1.9194
20251029,380.04,393.86,378.76,393.82,344740.46,13644645.226,3.4982,1.9194
20251030,399.71,402.76,390.7,392.14,343060.88,13797530.229,-0.4275,1.9194
20251031,391.85,400.52,382.21,382.77,340483.5,13515773.431,-2.3902,1.9194
20251103,381.02,385.86,369.97,380.89,263681.77,10106566.781,-0.4913,1.9194
20251104,377.15,380.53,368.23,373.1,239390.74,9091842.153,-2.0447,1.9194
20251105,367.09,386.93,366.26,382.7,311425.32,11937586.811,2.5729,1.9194
20251106,383.98,393.32,382.7,388.59,234474.77,9261688.312,1.5385,1.9194
20251107,387.42,391.37,382.88,389.27,165548.92,6516185.371,0.1748,1.9194
20251110,392.25,394.13,377.4,378.57,238959.91,9267204.047,-2.7468,1.9194
20251111,380.04,388.67,378.56,379.65,193031.75,7500041.113,0.2835,1.9194
20251112,384.75,386.92,378.05,380.41,212998.25,8261238.197,0.2023,1.9194
20251113,379.1,414.8,379.1,409.18,562654.49,22945441.956,7.5625,1.9194
20251114,400.72,408.2,397.64,397.88,241721.2,9879119.548,-2.7623,1.9194
20251117,382.01,386.34,376.59,384.75,476855.03,18542294.255,-3.301,1.9194
20251118,382.99,392.48,375.12,379.06,395658.14,15353867.657,-1.4791,1.9194
20251119,379.55,392.29,379.02,385.06,292666.86,11462348.543,1.5844,1.9194
20251120,388.8,388.9,371.19,373.53,336742.85,12895238.923,-2.9941,1.9194
20251121,369.21,377.09,364.29,364.29,316313.35,11850710.342,-2.475,1.9194
20251124,368.03,369.11,361.51,364.83,228458.19,8464724.008,0.1486,1.9194
