trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20250703,329.951,338.618,329.163,338.421,329.951,8.47,2.567,41351.19,1399412706.23
20250704,354.574,354.574,339.997,351.619,338.421,13.198,3.8999,56878.5,1999958491.22
20250707,357.529,358.514,341.77,348.665,351.619,-2.954,-0.8401,21644.89,754680783.02
20250708,348.665,355.559,345.513,353.786,348.665,5.121,1.4687,22087.99,781442793.41
20250709,356.347,383.531,354.771,379.197,353.786,25.411,7.1826,56945.32,2159351832.33
20250710,389.047,389.047,371.909,376.637,379.197,-2.56,-0.6751,36626.82,1379500083.2
20250711,377.228,378.213,366.393,371.712,376.637,-4.925,-1.3076,30594.17,1137221935.72
20250714,371.515,374.076,363.439,368.363,371.712,-3.349,-0.901,20047.8,738487216.62
20250715,373.288,378.015,369.742,371.515,368.363,3.152,0.8557,15225.92,565665742.72
20250716,372.303,373.091,366.393,369.348,371.515,-2.167,-0.5833,13427.83,495954409.56
20250717,370.333,374.667,367.378,368.363,369.348,-0.985,-0.2667,11069.87,407773296.06
20250718,378.016,392.395,374.47,389.047,368.363,20.684,5.6151,30001.06,1167181406.19
20250721,389.047,413.67,389.047,411.897,389.047,22.85,5.8733,44551.23,1835052084.39
20250722,415.837,428.247,412.488,421.549,411.897,9.652,2.3433,38641.54,1628931595.11
20250723,420.564,433.368,418.201,427.459,421.549,5.91,1.402,28517.97,1219025988.17
20250724,431.793,431.99,415.837,422.14,427.459,-5.319,-1.2443,23481.08,991231062.1
20250725,426.474,426.474,413.67,416.625,422.14,-5.515,-1.3064,16823.23,700897306.47
20250728,418.595,444.4,413.867,442.627,416.625,26.002,6.2411,32246.67,1427324037.01
20250729,444.597,455.037,439.869,455.037,442.627,12.41,2.8037,30033.26,1366624139.97
20250730,455.037,460.946,415.837,420.17,455.037,-34.867,-7.6625,56039.34,2354607418.29
20250731,414.655,424.11,398.896,400.078,420.17,-20.092,-4.7819,45910.4,1836773834.36
20250801,393.971,403.427,392.986,396.926,400.078,-3.152,-0.7878,35275.8,1400188739.26
20250804,398.502,411.109,397.32,411.109,396.926,14.183,3.5732,28719.46,1180683136.29
20250805,410.124,411.109,399.093,405.79,411.109,-5.319,-1.2938,23683.92,961070966.36
20250806,409.533,409.73,403.033,405.987,405.79,0.197,0.0485,9843.44,399631347.68
20250807,403.821,405.593,394.168,395.941,405.987,-10.046,-2.4745,16333.97,646729156.21
20250808,400.866,402.048,397.714,400.866,395.941,4.925,1.2439,14141.71,566892852.5
20250811,404.806,412.094,402.442,410.124,400.866,9.258,2.3095,16325.37,669542842.13
20250812,415.757,415.757,402.129,410.622,410.124,0.498,0.1214,11840.86,486211627.94
20250813,419.707,419.707,408.647,417.337,410.622,6.715,1.6353,15173.77,633257897.72
20250814,419.707,419.707,409.832,414.572,417.337,-2.765,-0.6625,12823.2,531614033.72
20250815,415.56,415.757,404.104,410.622,414.572,-3.95,-0.9528,13503.69,554491067.21
20250818,411.807,415.362,407.264,408.844,410.622,-1.778,-0.433,10528.31,430443952.49
20250819,408.844,409.437,397.981,399.759,408.844,-9.085,-2.2221,18644.69,745337983.48
20250820,399.956,404.104,396.006,401.734,399.759,1.975,0.494,12210.65,490543262.91
20250821,404.894,405.882,398.376,400.944,401.734,-0.79,-0.1966,11377.73,456183188.55
20250822,400.944,412.794,400.549,412.794,400.944,11.85,2.9555,17805.38,734996283.88
20250825,415.757,419.115,406.474,407.857,412.794,-4.937,-1.196,23892.9,974488055.37
20250826,406.277,410.029,402.919,409.437,407.857,1.58,0.3874,29623.68,1212902559.11
20250827,416.942,416.942,403.117,405.092,409.437,-4.345,-1.0612,12344.78,500076722.86
20250828,405.092,407.462,398.771,402.129,405.092,-2.963,-0.7314,9141.59,367609842.5
20250829,408.449,437.483,402.326,418.917,402.129,16.788,4.1748,61372.06,2570981750.88
20250901,418.917,421.09,408.844,415.757,418.917,-3.16,-0.7543,15451.97,642426687.18
20250902,417.732,422.472,406.474,412.399,415.757,-3.358,-0.8077,16714.42,689301803.46
20250903,415.757,419.312,412.399,416.745,412.399,4.346,1.0538,14270.49,594715093.04
20250904,417.732,428.793,407.857,414.77,416.745,-1.975,-0.4739,25458.48,1055940336.98
20250905,411.609,428.398,408.054,426.818,414.77,12.048,2.9047,43130.4,1840881629.38
20250908,429.385,435.903,422.67,425.04,426.818,-1.778,-0.4166,17283.09,734600577.62
20250909,427.805,431.163,422.67,425.633,425.04,0.593,0.1395,13732.05,584480812.94
20250910,429.583,436.891,420.695,420.695,425.633,-4.938,-1.1602,25194.06,1059901141.19
20250911,422.867,426.818,412.992,423.46,420.695,2.765,0.6572,14457.14,612202038.09
20250912,423.46,432.15,421.485,427.41,423.46,3.95,0.9328,17019.72,727440118.45
20250915,428.595,470.862,428.595,459.209,427.41,31.799,7.4399,62999.19,2892980559.18
