trade_date,open,high,low,close,volume,RSI_14,MACD_DIF,MACD_DEA,MACD_HIST,BB_UP,BB_MID,BB_LOW,BB_BW,BB_PCTB,ATR_14
20250702,328.7690766259512,329.5570373535156,320.29871672243905,329.5570373535156,3264625,,0.0,0.0,0.0,,,,,,
20250703,329.9509969060541,338.618354353968,329.1630662499266,338.42138671875,4135119,,0.7071,0.1414,1.1314,,,,,,
20250704,354.574200285583,354.574200285583,339.99727296356,351.6194152832031,5687850,,2.3059,0.5743,3.4632,,,,,,
20250707,357.52899764756023,358.51392601573536,341.77014375675867,348.6646423339844,2164489,,3.2965,1.1188,4.3556,,,,,,
20250708,348.6646458117429,355.55914445773783,345.51286297909377,353.7862854003906,2208799,,4.4437,1.7838,5.3199,,,,,,
20250709,356.3470682611665,383.5310969809409,354.77120693287776,379.1974182128906,5694532,,7.3189,2.8908,8.8562,,,,,,
20250710,389.0466999556202,389.0466999556202,371.9089526020122,376.6365966796875,3662682,,9.2839,4.1694,10.2289,,,,,,
20250711,377.22758019294326,378.2125086007577,366.393367706984,371.71197509765625,3059417,,10.3247,5.4005,9.8485,,,,,,
20250714,371.5150031060438,374.075792890311,363.43857823336185,368.36322021484375,2004780,,10.7554,6.4714,8.5679,,,,,,
20250715,373.28784313059214,378.01548716829785,369.7420950734989,371.5149841308594,1522592,,11.2217,7.4215,7.6004,,,,,,
20250716,372.3029296875,373.0908603727818,366.3933593750001,369.34814453125,1342783,,11.2863,8.1945,6.1837,,,,,,
20250717,370.3330770074365,374.6667559396147,367.3782918185474,368.36322021484375,1106987,,11.1297,8.7815,4.6964,,,,,,
20250718,378.0155121839546,392.3954729985611,374.4697939498468,389.0467224121094,3000106,,12.5302,9.5312,5.9978,,,,,,
20250721,389.0467135663401,413.6699232857287,389.0467135663401,411.8970642089844,4455123,,15.3074,10.6865,9.2419,,,,,,12.9254
20250722,415.83677433903335,428.246847889286,412.4879937986756,421.5493469238281,3864154,92.11,18.0788,12.1649,11.8278,,,,,,13.17
20250723,420.5643945509388,433.3684627691172,418.2005725837236,427.4588928222656,2851797,92.48,20.5156,13.8351,13.361,,,,,,13.3127
20250724,431.7926061571269,431.9896038609125,415.8367840522607,422.1403198242188,2348108,88.46,21.7667,15.4214,12.6905,,,,,,13.5156
20250725,426.4739783898031,426.4739783898031,413.6699097545435,416.6246948242188,1682323,84.37,22.0588,16.7489,10.6198,,,,,,13.4648
20250728,418.5945544796838,444.3996896259532,413.86691035802335,442.6268005371094,3224667,87.34,24.1105,18.2212,11.7787,,,,,,14.6839
20250729,444.596649275123,455.0368957519531,439.8690052384136,455.0368957519531,3003326,88.47,26.4332,19.8636,13.1393,457.33,385.68,314.02,37.1572,98.3985,14.7185
20250730,455.0368982981336,460.9464684059016,415.8367619396572,420.1704406738281,5603934,69.68,25.1704,20.925,8.4909,458.29,390.21,322.13,34.8953,72.0039,16.8893
20250731,414.6548706939751,424.1101896714446,398.8960157507361,400.0779418945313,4591040,61.57,22.2914,21.1982,2.1862,456.94,393.29,329.64,32.3669,55.331,17.4839
20250801,393.9713622441067,403.4266809494912,392.98643383849645,396.9261474609375,3527580,60.38,19.5302,20.8646,-2.6688,456.11,395.56,335.0,30.6165,51.1305,16.9808
20250804,398.5020290842482,411.1091003417969,397.3201030036404,411.1091003417969,2871946,63.77,18.2758,20.3469,-4.1422,455.37,398.68,341.99,28.4382,60.9632,16.7809
20250805,410.1241757322071,411.1091041225619,399.092995794811,405.7904968261719,2368392,61.64,16.6604,19.6096,-5.8983,453.92,401.28,348.63,26.2385,54.2843,16.4406
20250806,409.5332058933281,409.7302035911829,403.0327026709169,405.9874877929688,984344,61.69,15.2207,18.7318,-7.0223,454.25,402.62,350.99,25.6485,53.2619,15.7447
20250807,403.8206193458975,405.5934783346089,394.1683336382417,395.9411926269531,1633397,57.49,13.1178,17.609,-8.9824,453.88,403.58,353.29,24.9227,42.4013,15.4643
