trade_date,open,high,low,close,volume,amount,pct_chg,adj_factor
20250701,88.0,88.85,87.65,87.76,216887.92,1911740.652,-0.465,1.0
20250702,87.5,87.73,85.81,86.1,225572.67,1955238.262,-1.8915,1.0
20250703,86.38,86.73,85.78,86.24,146150.27,1260331.049,0.1626,1.0
20250704,86.0,87.2,84.86,85.8,252257.45,2166412.311,-0.5102,1.0
20250707,85.69,86.86,85.37,85.48,135349.28,1162397.568,-0.373,1.0
20250708,85.49,86.85,85.18,86.74,217668.48,1876172.23,1.474,1.0
20250709,86.65,86.86,85.52,85.85,183102.0,1578143.686,-1.0261,1.0
20250710,85.61,86.17,85.5,85.67,175639.46,1506706.468,-0.2097,1.0
20250711,85.7,89.34,85.4,88.16,469922.38,4128335.55,2.9065,1.0
20250714,88.3,88.49,87.47,87.52,189831.36,1667925.619,-0.726,1.0
20250715,87.15,87.95,86.61,87.89,206173.16,1800356.659,0.4228,1.0
20250716,87.73,88.2,86.77,87.12,196708.51,1720548.788,-0.8761,1.0
20250717,87.06,89.0,86.32,88.79,287922.16,2535637.954,1.9169,1.0
20250718,88.75,89.13,87.93,88.51,219959.93,1948101.635,-0.3154,1.0
20250721,88.45,89.52,88.04,89.02,222719.15,1983498.56,0.5762,1.0
20250722,88.7,90.55,88.5,89.08,297420.68,2662984.479,0.0674,1.0
20250723,88.9,90.19,88.3,89.39,316549.41,2831683.379,0.348,1.0
20250724,89.1,92.9,89.0,91.75,522324.53,4779308.503,2.6401,1.0
20250725,91.74,93.68,90.99,93.47,442124.79,4076414.682,1.8747,1.0
20250728,93.64,93.69,91.96,92.18,342640.05,3167887.757,-1.3801,1.0
20250729,92.0,92.63,90.81,92.17,294142.08,2699803.673,-0.0108,1.0
20250730,91.7,91.83,89.74,90.36,310018.59,2815721.986,-1.9638,1.0
20250731,90.32,92.75,89.46,89.5,461988.52,4187082.774,-0.9517,1.0
20250801,89.2,90.33,88.02,88.29,274140.33,2439842.712,-1.352,1.0
20250804,87.95,90.63,87.88,90.07,286057.6,2568808.038,2.0161,1.0
20250805,89.85,90.58,89.58,90.0,195679.4,1761818.589,-0.0777,1.0
20250806,89.86,91.0,89.53,90.78,267797.87,2418543.09,0.8667,1.0
20250807,90.7,91.7,89.75,90.59,315259.94,2859638.85,-0.2093,1.0
20250808,88.0,88.5,86.66,86.66,584730.5,5098977.106,-4.3382,1.0
20250811,86.69,87.18,86.22,86.96,279193.14,2423559.078,0.3462,1.0
20250812,86.95,90.1,86.42,88.52,551552.4,4870773.398,1.7939,1.0
20250813,88.01,89.23,88.0,88.66,384304.42,3405728.487,0.1582,1.0
20250814,88.69,92.58,88.69,89.46,741492.26,6741604.128,0.9023,1.0
20250815,89.0,93.3,88.48,91.84,690499.46,6288369.53,2.6604,1.0
20250818,93.5,95.17,91.36,92.31,833423.13,7749849.746,0.5118,1.0
20250819,91.67,92.48,89.35,89.35,744652.14,6762914.098,-3.2066,1.0
20250820,89.4,92.49,88.19,92.28,858745.56,7756060.795,3.2792,1.0
20250821,92.3,94.11,90.8,91.05,606826.05,5593619.618,-1.3329,1.0
20250822,92.5,105.0,92.42,103.97,2061948.09,20322967.7,14.19,1.0
20250825,106.0,109.24,101.1,103.17,1760636.98,18348502.386,-0.7695,1.0
20250826,101.0,102.57,100.13,100.93,856074.09,8663988.281,-2.1712,1.0
20250827,102.2,106.69,100.59,101.51,1422620.71,14762335.293,0.5747,1.0
20250828,102.0,119.22,101.99,119.22,2420325.11,27118768.322,17.4466,1.0
