股票,代码,入场周期,出场周期,ATR周期,时间窗口,交易日数,总收益率%,年化收益率%,基准收益率%,超额收益%,最大回撤%,基准最大回撤%,夏普比率,基准夏普,胜率%,盈亏比,交易次数,平均持仓天数,最大单笔盈利%,最大单笔亏损%,总交易成本
宁德时代,300750.SZ,10,5,10,full,232,12.19,13.3,42.77,-30.59,18.11,18.45,0.504,1.14,37.5,3.42,8,13.6,22.22,-5.23,686.36
宁德时代,300750.SZ,10,5,10,recent_3m,68,2.46,9.44,-3.02,5.48,6.29,17.39,0.411,-0.131,100.0,999.0,1,18.0,2.46,2.46,80.99
宁德时代,300750.SZ,10,5,10,recent_6m,131,4.18,8.19,1.95,2.22,7.22,17.39,0.371,0.227,66.7,2.76,3,14.7,2.62,-0.92,242.27
宁德时代,300750.SZ,15,7,15,full,227,-3.73,-4.14,36.92,-40.65,26.63,18.45,-0.062,1.038,33.3,1.99,6,14.2,24.56,-9.39,477.54
宁德时代,300750.SZ,15,7,15,recent_3m,68,1.45,5.5,-3.02,4.47,7.21,17.39,0.261,-0.131,100.0,999.0,1,20.0,1.45,1.45,80.58
宁德时代,300750.SZ,15,7,15,recent_6m,131,-6.49,-12.11,1.95,-8.44,10.49,17.39,-0.542,0.227,33.3,0.36,3,15.7,1.45,-5.29,226.91
宁德时代,300750.SZ,20,10,20,full,222,-5.44,-6.15,47.18,-52.62,29.34,18.45,-0.182,1.277,20.0,3.31,5,14.8,16.83,-8.79,411.27
宁德时代,300750.SZ,20,10,20,recent_3m,68,-0.87,-3.17,-3.02,2.15,9.33,17.39,-0.084,-0.131,0.0,0.0,1,22.0,-0.87,-0.87,79.65
宁德时代,300750.SZ,20,10,20,recent_6m,131,-11.26,-20.54,1.95,-13.22,11.26,17.39,-1.002,0.227,0.0,0.0,3,14.3,-0.87,-8.02,220.68
宁德时代,300750.SZ,25,12,25,full,217,12.71,14.91,46.95,-34.24,15.77,18.45,0.593,1.289,33.3,9.48,3,21.7,16.83,-2.68,269.51
宁德时代,300750.SZ,25,12,25,recent_3m,68,-0.87,-3.17,-3.02,2.15,9.33,17.39,-0.084,-0.131,0.0,0.0,1,22.0,-0.87,-0.87,79.65
宁德时代,300750.SZ,25,12,25,recent_6m,131,-3.53,-6.67,1.95,-5.48,9.33,17.39,-0.315,0.227,0.0,0.0,2,19.5,-0.87,-2.68,156.44
宁德时代,300750.SZ,30,15,30,full,212,16.49,19.89,37.96,-21.47,14.14,18.45,0.694,1.12,33.3,11.69,3,31.0,20.75,-2.68,277.2
宁德时代,300750.SZ,30,15,30,recent_3m,68,-0.87,-3.17,-3.02,2.15,9.33,17.39,-0.084,-0.131,0.0,0.0,1,22.0,-0.87,-0.87,79.65
宁德时代,300750.SZ,30,15,30,recent_6m,131,-3.53,-6.67,1.95,-5.48,9.33,17.39,-0.315,0.227,0.0,0.0,2,19.5,-0.87,-2.68,156.44
宁德时代,300750.SZ,55,20,55,full,187,0.43,0.58,4.7,-4.27,13.78,18.45,0.086,0.298,50.0,1.14,2,39.5,6.71,-5.89,155.46
宁德时代,300750.SZ,55,20,55,recent_3m,68,-0.87,-3.17,-3.02,2.15,9.33,17.39,-0.084,-0.131,0.0,0.0,1,22.0,-0.87,-0.87,79.65
宁德时代,300750.SZ,55,20,55,recent_6m,131,6.71,13.31,1.95,4.76,9.33,17.39,0.564,0.227,100.0,999.0,1,44.0,6.71,6.71,82.69
中芯国际,688981.SH,10,5,10,full,227,64.27,73.5,75.69,-11.42,15.17,34.5,1.411,1.366,66.7,3.49,6,15.3,30.79,-5.62,512.06
